date,bus_rkl,bus_rkn,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter
2022-11-07,166136,2554,36832,151803,163627,186418,38105,23534,9986,1955,8181,8192,
2022-11-08,181619,2574,37261,150193,171123,134319,46679,23597,7008,1662,6809,7639,
2022-11-09,198386,2525,36980,135603,160697,46292,46778,22811,7107,2431,6967,7854,
2022-11-10,182425,2177,35228,132122,153934,40717,46353,22316,8812,3611,9128,8300,
2022-11-11,177750,2673,38221,136665,158259,39608,48784,22820,11988,4213,11310,9052,
2022-11-12,128544,2239,31227,90957,108122,21820,37374,15595,11750,5230,10688,8093,
2022-11-13,117756,2454,32538,81764,92540,18080,33615,13156,11505,4109,10737,6982,
2022-11-14,156327,2367,35609,141677,153084,157358,35894,22430,10055,2223,8599,8363,
2022-11-15,161492,2601,36376,152135,166455,197786,35891,23643,10595,2123,9153,7878,
2022-11-16,165820,2619,38025,161277,178844,218582,36704,25206,13041,3202,14015,8013,
2022-11-17,148950,3119,37718,161586,175514,209881,36722,25015,13612,4817,16175,9072,
2022-11-18,88341,1773,31050,89991,96426,105703,25940,14273,14150,6553,13496,8974,
2022-11-19,78819,1165,31826,79947,81258,89707,26726,12258,12923,3896,9644,7729,
